id,Nome do Filme,Ano de Lancamento,Decada do Filme,Duracao,Lancamento,Classificao do Filme,Publico Alvo,Diretor,Estrela,Genero,Tematica,Pais de Origem,Produtora,Idioma,Indicado a Premiações de Cinema,Nota
tt0090233,Underworld,1985,1980,1h 43m,Cinema,+16,Jovens,Outros,Denholm Elliott,Ação,Terror,Reino Unido,Outros,Inglês,0,4.0
tt0090084,Storm,1985,1980,1h 42m,Cinema,+12,Família,Outros,Outros,Ação,Comédia,Canadá,Outros,Inglês,0,5.2
tt0089364,James Joyce's Women,1985,1980,1h 28m,Cinema,+16,Jovens,Outros,Fionnula Flanagan,Drama,Indefinido,Irlanda,Outros,Inglês,0,6.5
tt0115580,The Associate,1996,1990,1h 54m,Cinema,+12,Família,Donald Petrie,Whoopi Goldberg,Sátira,Comédia,Estados Unidos,Hollywood Pictures,Inglês,0,6.1
tt0115678,Big Night,1996,1990,1h 49m,Cinema,+16,Jovens,Stanley Tucci,Tony Shalhoub,Drama,Romance,Estados Unidos,Rysher Entertainment,Inglês,17,7.3
tt0117071,Moll Flanders,1996,1990,2h 3m,Cinema,+12,Família,Outros,Robin Wright,Drama,Romance,Irlanda,MetroGoldwynMayer MGM,Inglês,0,6.4
tt0116913,Looking for Richard,1996,1990,1h 51m,Cinema,+12,Família,Outros,Al Pacino,Documentário,Drama,Estados Unidos,Twentieth Century Fox,Inglês,4,7.3
tt0117481,Riot,1996,1990,1h 34m,Cinema,+16,Jovens,Joseph Merhi,Outros,Comédia Sombria,Ação,Estados Unidos,PM Entertainment Group,Inglês,0,5.4
tt0116770,Killer Tongue,1996,1990,1h 38m,Cinema,+16,Jovens,Outros,Outros,Terror Corporal (Body Horror),Comédia Sombria,Reino Unido,Lolafilms,Inglês,3,4.6
tt0118159,White Tiger,1996,1990,1h 33m,Cinema,+16,Jovens,Outros,Outros,Ação,Indefinido,Canadá,Den Pictures Inc,Inglês,0,5.1
tt0116003,Daddy's Girl,1996,1990,1h 35m,Cinema,+16,Jovens,Outros,William Katt,Drama,Terror,Estados Unidos,Image Organization,Inglês,0,4.8
tt0468569,The Dark Knight,2008,2000,2h 32m,Cinema,+12,Família,Christopher Nolan,Christian Bale,Épico de Ação,Épico,Estados Unidos,Warner Bros,Inglês,164,9.0
tt0452608,Death Race,2008,2000,1h 45m,Cinema,+16,Jovens,Paul WS Anderson,Jason Statham,Ação,Ficção Científica,Estados Unidos,Universal Pictures,Inglês,5,6.4
tt1198405,Morning Light,2008,2000,1h 37m,Cinema,+10,Família,Outros,Outros,Outros,Documentário,Estados Unidos,Walt Disney Pictures,Inglês,0,5.7
tt1018830,Yonkers Joe,2008,2000,1h 41m,Cinema,+16,Jovens,Outros,Chazz Palminteri,Comédia,Crime,Estados Unidos,Outros,Inglês,0,6.3
tt1155053,A Frozen Flower,2008,2000,2h 13m,Televisao,+18,Adultos,Outros,Outros,Drama,História,Coreia do Sul,Universal Pictures,Coreano,7,7.1
tt1233487,Don't Look Down,2008,2000,1h 25m,Cinema,+16,Jovens,Outros,Outros,Drama,Romance,Argentina,Centre national du cinma et de limage anime CNC,Espanhol,0,5.9
tt0306685,Cradle 2 the Grave,2003,2000,1h 41m,Cinema,+16,Jovens,Andrzej Bartkowiak,Jet Li,Artes Marciais,Ação,Estados Unidos,Warner Bros,Inglês,0,5.8
tt0324197,Time of the Wolf,2003,2000,1h 54m,Cinema,+16,Jovens,Michael Haneke,Isabelle Huppert,Drama,Indefinido,França,Les Films du Losange,Francês,0,6.4
tt0351461,Noi the Albino,2003,2000,1h 33m,Cinema,+12,Família,Outros,Outros,Comédia,Drama,Iceland,Outros,Icelandic,14,7.3
tt0285727,"Milwaukee, Minnesota",2003,2000,1h 35m,Cinema,+16,Jovens,Outros,Randy Quaid,Drama,Indefinido,Estados Unidos,Outros,Inglês,4,6.1
tt0308152,Dead End,2003,2000,1h 25m,Cinema,+16,Jovens,Outros,Ray Wise,Comédia Sombria,Terror Sobrenatural,França,Le Studio Canal,Inglês,5,6.5
tt0119396,Jackie Brown,1997,1990,2h 34m,Cinema,+16,Jovens,Quentin Tarantino,Pam Grier,Golpe / Assalto,Crime de Drogas,Estados Unidos,Miramax,Inglês,25,7.5
tt0120373,Trial and Error,1997,1990,1h 38m,Cinema,+12,Família,Jonathan Lynn,Jeff Daniels,Comédia,Romance,Estados Unidos,New Line Cinema,Inglês,0,5.8
